Generation: 387; Difference: 134.0952502104299; Time: 24158299848826;
Generation: 388; Difference: 134.0952502104299; Time: 24327446827724;
Generation: 389; Difference: 134.0952502104299; Time: 24440822520519;
Generation: 390; Difference: 134.08971143449241; Time: 24552493875415;
Generation: 391; Difference: 134.08971143449241; Time: 24664912493130;
Generation: 392; Difference: 134.0890855015686; Time: 24786054327097;
Generation: 393; Difference: 134.0890855015686; Time: 24893117341519;
Generation: 394; Difference: 134.0870241866707; Time: 24997743487292;
Generation: 395; Difference: 134.0870241866707; Time: 25106437042032;
Generation: 396; Difference: 134.0870241866707; Time: 25216764594746;
Generation: 397; Difference: 134.0870241866707; Time: 25324182226582;
Generation: 398; Difference: 134.08275440218318; Time: 25430066729552;
Generation: 399; Difference: 134.07429632471334; Time: 25535148195571;
Generation: 400; Difference: 134.06145793091866; Time: 25637664725564;
Generation: 401; Difference: 134.06145793091866; Time: 25738088887213;
Generation: 402; Difference: 134.05725740438996; Time: 25839539860418;
Generation: 403; Difference: 134.05725740438996; Time: 25937202048181;
Generation: 404; Difference: 134.04610280593658; Time: 26034123235694;
Generation: 405; Difference: 134.04468291002436; Time: 26130653395651;
Generation: 406; Difference: 134.03720381950478; Time: 26228671578133;
Generation: 407; Difference: 134.031568566422; Time: 26324619289448;
Generation: 408; Difference: 134.031568566422; Time: 26422126997650;
Generation: 409; Difference: 134.031568566422; Time: 26518873077854;
Generation: 410; Difference: 134.031568566422; Time: 26612442502437;
Generation: 411; Difference: 134.03106308059307; Time: 26705943988626;
Generation: 412; Difference: 134.0279367561693; Time: 26798882360809;
Generation: 413; Difference: 134.0279367561693; Time: 26885876652376;
Generation: 414; Difference: 134.0279367561693; Time: 26969658246589;
Generation: 415; Difference: 134.01932201287443; Time: 27053553880743;
Generation: 416; Difference: 134.01932201287443; Time: 27135349381180;
Generation: 417; Difference: 134.01374752067838; Time: 27215414549766;
Generation: 418; Difference: 134.01374752067838; Time: 27297301941171;
Generation: 419; Difference: 134.01374752067838; Time: 27378890502817;
Generation: 420; Difference: 134.01374752067838; Time: 27461456906040;
Generation: 421; Difference: 134.0084568885082; Time: 27543316769752;
Generation: 422; Difference: 134.00442385132237; Time: 27625338047373;
Generation: 423; Difference: 134.00322477531316; Time: 27707635779438;
Generation: 424; Difference: 134.00280660565338; Time: 27790467963339;
Generation: 425; Difference: 134.00280660565338; Time: 27870397333612;
Generation: 426; Difference: 134.00280660565338; Time: 27952191297825;
Generation: 427; Difference: 134.00155788199265; Time: 28035174953006;
Generation: 428; Difference: 133.9890879842554; Time: 28118174664455;
Generation: 429; Difference: 133.9890879842554; Time: 28201301112485;
Generation: 430; Difference: 133.9890879842554; Time: 28282235584275;
Generation: 431; Difference: 133.9890879842554; Time: 28361776588690;
Generation: 432; Difference: 133.9890879842554; Time: 28444876371477;
Generation: 433; Difference: 133.9890879842554; Time: 28526886833812;
Generation: 434; Difference: 133.9890879842554; Time: 28607617580773;
Generation: 435; Difference: 133.98333398887223; Time: 28690072665751;
Generation: 436; Difference: 133.98333398887223; Time: 28771558558523;
Generation: 437; Difference: 133.98196866290752; Time: 28850579057887;
Generation: 438; Difference: 133.9718761252872; Time: 28930815759191;
Generation: 439; Difference: 133.9717788585252; Time: 29010954631323;
Generation: 440; Difference: 133.9717788585252; Time: 29090271521020;
Generation: 441; Difference: 133.9717788585252; Time: 29170094098829;
Generation: 442; Difference: 133.9717788585252; Time: 29249676429054;
Generation: 443; Difference: 133.97066625101544; Time: 29332636078679;
Generation: 444; Difference: 133.97066625101544; Time: 29411274675480;
Generation: 445; Difference: 133.97066625101544; Time: 29500406948997;
Generation: 446; Difference: 133.96491700284574; Time: 29581833361064;
Generation: 447; Difference: 133.96491700284574; Time: 29657653718058;
Generation: 448; Difference: 133.96491700284574; Time: 29731463676788;
Generation: 449; Difference: 133.96491700284574; Time: 29803601847656;
Generation: 450; Difference: 133.95834289519107; Time: 29877099447059;
Generation: 451; Difference: 133.95834289519107; Time: 29951467248782;
Generation: 452; Difference: 133.95834289519107; Time: 30027215331009;
